State/Region,Route,Pickup/Bolero,14 Ft,19 Ft,22 Ft,32 Ft
Rajasthan,Jaipur → Ajmer,"₹4,000–₹5,000","₹10,500–₹11,500","₹ 11,500","₹ 12,500","₹15,500–₹16,500"
Rajasthan,Jaipur → Alwar,"₹ 4,000","₹10,500–₹11,000","₹ 11,500","₹ 12,500","₹15,500–₹16,500"
Rajasthan,Jaipur → Kota,"₹4,500–₹5,000","₹ 13,000","₹ 14,000","₹15,500–₹16,500","₹19,000–₹20,000"
Rajasthan,Jaipur → Jodhpur,"₹6,500–₹7,000","₹15,000–₹16,000","₹16,000–₹17,000","₹17,000–₹18,000","₹23,000–₹25,000"
Rajasthan,Jaipur → Jaisalmer,"₹10,000–₹12,000","₹21,000–₹23,000","₹26,000–₹27,000","₹27,500–₹29,000","₹34,000–₹37,000"
Rajasthan,Jaipur → Udaipur,"₹6,000–₹7,000","₹15,000–₹16,000","₹17,500–₹19,000","₹19,000–₹20,500","₹20,500–₹29,000*"
,,,,,,
,,,,,,
Haryana,Jaipur → Sonipat,Same as Delhi/NCR,Same as Delhi/NCR,Same as Delhi/NCR,Same as Delhi/NCR,Same as Delhi/NCR
Haryana,Jaipur → Panipat,Same as Delhi/NCR,Same as Delhi/NCR,Same as Delhi/NCR,Same as Delhi/NCR,Same as Delhi/NCR
Haryana,Jaipur → Jind,Same as Delhi/NCR,Same as Delhi/NCR,Same as Delhi/NCR,Same as Delhi/NCR,Same as Delhi/NCR
Haryana,Jaipur → Jhajjar,Same as Delhi/NCR,Same as Delhi/NCR,Same as Delhi/NCR,Same as Delhi/NCR,Same as Delhi/NCR
Haryana,Jaipur → Bahadurgarh,Same as Delhi/NCR,Same as Delhi/NCR,Same as Delhi/NCR,Same as Delhi/NCR,Same as Delhi/NCR
Haryana,Jaipur → Karnal,Same as Delhi/NCR,Same as Delhi/NCR,Same as Delhi/NCR,Same as Delhi/NCR,Same as Delhi/NCR
,,,,,,
Punjab,Jaipur → Ambala / Chandigarh,"₹9,000–₹10,500","₹18,000–₹20,500","₹22,500–₹24,500","₹24,000–₹26,000","₹ 35,000"
Punjab,Jaipur → Ludhiana,"₹9,000–₹10,500","₹18,000–₹20,500","₹22,500–₹24,500","₹24,000–₹26,000","₹ 35,000"
Punjab,Jaipur → Amritsar,"₹9,000–₹10,500","₹18,000–₹20,500","₹22,500–₹24,500","₹24,000–₹26,000","₹ 35,000"
,,,,,,
,,,,,,
Gujarat,Jaipur → Surat,"₹14,000–₹15,000","₹24,000–₹25,000","₹25,000–₹26,500","₹27,000–₹28,500","₹33,000–₹35,000"
Gujarat,Jaipur → Ahmedabad,"₹11,000–₹12,500","₹21,500–₹23,000","₹23,500–₹24,500","₹25,000–₹26,500","₹30,000–₹32,000"
Gujarat,Jaipur → Vadodara,"₹11,500–₹13,000","₹22,500–₹24,000","₹24,000–₹26,000","₹26,000–₹27,500","₹31,000–₹33,000"
Gujarat,Jaipur → Rajkot,"₹14,000–₹15,000","₹23,500–₹24,500","₹25,000–₹26,500","₹27,000–₹28,500","₹32,000–₹34,000"
,,,,,,
Uttar Pradesh,Jaipur → Agra,,"₹12,000–₹13,000","₹14,000–₹14,500","₹15,000–₹15,500",
Uttar Pradesh,Jaipur → Kanpur,,"₹ 24,000","₹26,000–₹28,000","₹29,000–₹30,000",
Uttar Pradesh,Jaipur → Lucknow,,"₹ 25,000","₹27,000–₹29,000","₹29,500–₹31,000",
